,enrollee_id,city_development_index,experience,company_size,last_new_job,training_hours,target
5056,11921,0.92,15,5,1,36,0.0
5057,12918,0.926,8,6,4,31,0.0
5058,13234,0.682,12,2,5,25,1.0
5059,20788,0.897,7,7,2,24,1.0
5060,19380,0.92,21,4,3,44,1.0
5061,5852,0.7959999999999999,7,3,1,114,0.0
5062,26206,0.92,12,3,1,70,0.0
5065,12186,0.843,14,1,4,122,0.0
5066,29233,0.92,5,2,3,5,0.0
5067,18321,0.939,9,1,1,18,0.0
5068,25771,0.926,8,7,4,134,0.0
5069,6514,0.92,13,3,1,19,0.0
5071,901,0.884,4,5,4,11,0.0
5073,2474,0.899,21,7,2,81,0.0
5074,10054,0.926,13,4,4,52,0.0
5075,16767,0.856,14,2,1,124,0.0
5076,17256,0.6659999999999999,6,1,1,19,0.0
5077,20557,0.624,7,2,1,29,1.0
5078,18784,0.91,11,6,5,90,0.0
5082,19549,0.91,10,0,3,56,1.0
5083,15987,0.843,12,2,1,4,0.0
5084,30597,0.743,3,0,1,4,0.0
5086,2206,0.897,11,3,2,200,0.0
5087,10901,0.92,9,2,4,162,0.0
5088,6286,0.743,2,0,1,58,0.0
5089,33168,0.624,0,0,1,29,1.0
5090,28497,0.624,10,2,1,46,1.0
5091,931,0.794,5,3,1,6,0.0
5093,22350,0.804,6,6,1,210,0.0
5096,30250,0.926,13,1,3,154,0.0
5097,6004,0.884,21,3,1,10,1.0
5098,9675,0.926,21,3,1,154,0.0
5099,11141,0.92,10,2,1,49,0.0
5100,12143,0.924,21,4,2,24,0.0
5101,33190,0.926,9,1,3,10,0.0
5103,4673,0.895,14,2,3,18,0.0
5104,2728,0.698,5,3,1,29,0.0
5105,18736,0.698,10,2,1,37,0.0
5108,18353,0.767,1,3,1,37,0.0
5109,26857,0.925,4,2,1,46,0.0
5110,11590,0.897,2,5,2,40,0.0
5113,17104,0.92,21,5,3,84,0.0
5114,764,0.91,21,7,5,56,0.0
5116,7149,0.897,21,2,5,61,0.0
5117,6119,0.92,21,2,5,35,0.0
5118,17974,0.698,11,2,1,15,0.0
5119,29411,0.92,21,5,1,36,0.0
5121,4096,0.754,21,2,3,124,0.0
5123,15456,0.897,2,0,1,75,0.0
5124,16139,0.926,5,1,4,11,0.0
5127,18954,0.698,1,4,1,165,0.0
5128,20256,0.802,3,5,1,34,0.0
5129,30850,0.91,6,4,1,65,0.0
5131,27518,0.92,18,3,1,6,0.0
5132,26297,0.624,9,0,2,54,1.0
5133,1160,0.92,18,7,5,45,0.0
5135,8824,0.92,18,3,1,13,1.0
5136,29439,0.92,12,4,1,121,0.0
5137,5068,0.855,15,3,1,55,0.0
5138,30554,0.92,4,7,1,118,0.0
5139,12255,0.939,20,5,5,40,0.0
5140,14554,0.624,3,2,1,100,1.0
5141,24931,0.895,14,3,1,83,0.0
5142,23149,0.926,21,3,5,19,0.0
5143,23158,0.92,14,7,2,94,0.0
5147,23067,0.92,11,5,2,41,0.0
5151,15333,0.789,8,2,1,10,0.0
5152,2289,0.804,14,2,1,28,0.0
5153,19025,0.92,7,7,5,6,1.0
5154,22223,0.92,10,5,5,12,0.0
5155,4860,0.866,20,7,5,61,0.0
5157,11501,0.624,4,7,2,29,1.0
5159,17844,0.624,6,5,3,97,0.0
5161,7302,0.926,5,3,3,15,0.0
5162,6659,0.698,3,5,2,24,0.0
5163,33278,0.624,6,0,0,236,0.0
5164,26167,0.624,6,1,1,83,0.0
5165,17057,0.92,6,4,2,4,0.0
5166,12195,0.878,5,7,1,77,0.0
5167,380,0.92,20,6,1,110,0.0
5169,10920,0.92,6,2,1,106,0.0
5170,21542,0.897,3,3,1,59,0.0
5171,13298,0.926,21,3,2,140,0.0
5172,22627,0.91,1,1,1,140,0.0
5174,1149,0.762,4,5,2,83,0.0
5175,9349,0.897,14,2,3,8,0.0
5176,2267,0.895,13,2,2,172,0.0
5177,10490,0.624,21,7,5,26,1.0
5178,14475,0.926,21,5,0,123,0.0
5180,29532,0.624,7,2,4,33,0.0
5183,10531,0.884,17,7,1,184,0.0
5184,13013,0.91,10,3,4,65,0.0
5185,27849,0.884,6,4,1,134,1.0
5186,21743,0.887,0,4,4,45,0.0
5187,17530,0.926,16,4,3,72,0.0
5191,31134,0.91,21,2,5,278,0.0
5193,13594,0.624,4,2,2,112,1.0
5194,10383,0.92,14,5,5,66,0.0
5195,30363,0.92,21,4,5,94,0.0
5196,12004,0.89,8,3,2,108,0.0
5198,5215,0.789,14,7,1,130,0.0
5199,10405,0.92,21,7,4,35,0.0
5200,25798,0.92,13,7,3,12,0.0
5201,19855,0.6659999999999999,5,2,2,116,0.0
5202,20316,0.6890000000000001,10,6,1,9,0.0
5203,8282,0.727,8,3,5,11,0.0
5205,19993,0.754,6,3,0,100,0.0
5206,10236,0.926,21,7,5,5,0.0
5207,23720,0.802,17,5,2,90,0.0
5210,10094,0.92,10,5,5,24,0.0
5211,20008,0.92,18,3,5,146,0.0
5213,32500,0.624,18,6,4,80,1.0
5214,21879,0.939,3,6,2,72,0.0
5215,5869,0.6659999999999999,10,2,4,54,0.0
5216,28110,0.92,21,7,5,57,0.0
5217,25514,0.92,11,1,1,75,0.0
5219,21289,0.624,5,1,3,6,1.0
5220,8069,0.89,14,2,2,39,0.0
5223,26001,0.647,4,4,1,18,0.0
5224,1844,0.698,6,2,1,100,0.0
5225,29775,0.92,3,4,1,50,0.0
5226,9951,0.92,16,5,1,152,0.0
5227,5336,0.754,5,1,2,57,0.0
5229,26983,0.92,6,7,1,78,1.0
5231,24731,0.92,9,3,2,75,0.0
5233,4406,0.92,21,3,4,51,1.0
5234,19539,0.939,21,4,5,9,0.0
5235,6535,0.624,5,4,1,100,1.0
5238,32410,0.624,3,2,1,86,0.0
5239,6634,0.624,3,3,1,78,0.0
5240,21068,0.847,19,1,5,30,0.0
5241,5975,0.55,3,2,1,7,1.0
5243,9336,0.903,2,2,1,18,0.0
5245,30931,0.624,8,3,2,192,1.0
5246,21561,0.624,13,2,1,24,1.0
5251,8984,0.92,3,7,1,25,0.0
5253,17768,0.84,3,2,1,41,1.0
5255,29020,0.624,7,3,1,72,1.0
5256,26326,0.92,15,7,5,65,1.0
5257,25080,0.91,21,4,4,320,0.0
5258,12125,0.895,12,2,3,22,0.0
5259,16446,0.6659999999999999,10,2,1,38,0.0
5260,21906,0.92,21,2,3,7,1.0
5261,14423,0.92,3,2,1,70,1.0
5262,25667,0.91,21,5,5,28,0.0
5264,596,0.92,4,3,1,60,0.0
5266,8847,0.92,13,2,3,66,0.0
5267,7660,0.92,21,5,2,27,0.0
5269,10983,0.91,5,6,4,214,0.0
5271,9192,0.624,3,7,1,94,1.0
5272,7690,0.624,8,6,5,36,1.0
5273,3992,0.92,4,2,1,204,0.0
5274,6391,0.92,21,0,2,15,0.0
5276,17095,0.624,10,2,3,21,0.0
5277,19589,0.754,12,3,1,222,0.0
5278,6190,0.92,21,5,5,16,0.0
5281,2982,0.926,18,3,1,61,0.0
5282,4378,0.92,21,4,3,113,0.0
5284,27940,0.939,21,2,2,148,0.0
5286,27057,0.915,9,3,5,112,0.0
5288,27729,0.92,10,6,1,172,0.0
5290,31207,0.91,0,7,3,39,0.0
5292,26044,0.915,10,7,1,89,0.0
5294,23023,0.92,10,3,5,20,0.0
5296,6176,0.923,8,2,0,326,0.0
5297,25624,0.925,21,0,5,161,0.0
5301,6825,0.897,6,5,0,19,0.0
5302,6247,0.926,17,1,1,18,0.0
5304,4960,0.698,18,4,5,69,0.0
5305,13181,0.92,11,3,5,70,0.0
5306,5613,0.939,8,0,1,8,0.0
5307,29715,0.884,9,3,1,47,0.0
5308,9788,0.91,14,1,1,26,0.0
5309,32069,0.91,21,5,5,102,0.0
5310,20389,0.624,0,2,1,48,0.0
5311,28389,0.926,4,2,1,23,0.0
5312,6567,0.855,11,3,1,56,0.0
5315,31745,0.903,20,3,2,36,0.0
5316,28499,0.624,10,2,5,38,0.0
5318,8790,0.92,3,2,2,46,0.0
5319,11244,0.893,20,6,2,15,0.0
5320,8599,0.92,7,3,2,11,0.0
5321,101,0.897,19,1,3,12,0.0
5323,18902,0.92,6,7,1,9,0.0
5324,10702,0.949,16,0,3,152,0.0
5325,213,0.624,3,2,1,22,1.0
5326,5420,0.698,6,3,5,8,0.0
5327,18125,0.92,7,7,1,20,0.0
5328,12421,0.624,17,1,1,48,1.0
5329,3489,0.92,21,1,2,43,0.0
5330,20972,0.92,21,5,5,37,0.0
5331,6848,0.624,6,2,5,22,1.0
5332,1415,0.91,21,0,2,26,0.0
5334,20686,0.897,2,5,1,56,0.0
5335,31127,0.925,3,3,2,228,0.0
5336,28045,0.516,5,2,1,20,0.0
5340,1743,0.893,21,5,0,133,0.0
5344,25407,0.926,21,0,5,30,0.0
5346,27218,0.624,4,0,1,166,0.0
5348,20971,0.926,21,3,4,30,0.0
5349,25826,0.926,9,4,4,54,0.0
5350,5467,0.855,3,5,1,52,0.0
5352,16827,0.754,4,0,4,94,1.0
5353,32109,0.92,21,6,4,36,0.0
5354,7371,0.92,14,5,1,15,0.0
5355,7920,0.698,15,2,2,96,1.0
5357,3810,0.92,21,4,5,152,0.0
5358,21867,0.512,9,2,1,68,0.0
5361,19511,0.895,10,0,1,72,0.0
5363,27852,0.795,17,3,2,21,0.0
5365,24907,0.698,10,5,4,66,0.0
5367,17121,0.754,11,2,5,40,0.0
5368,15706,0.698,4,5,2,136,0.0
5369,14196,0.897,6,7,4,25,0.0
5372,20311,0.939,21,5,2,42,0.0
5373,6148,0.91,3,7,1,78,1.0
5374,5241,0.767,3,3,0,4,0.0
5375,10998,0.897,6,1,2,146,0.0
5378,30623,0.624,7,3,5,84,0.0
5382,32723,0.624,4,2,1,3,0.0
5383,19851,0.855,4,3,4,67,0.0
5386,1147,0.92,11,6,1,16,0.0
5387,10415,0.939,21,5,1,56,0.0
5388,24593,0.855,6,5,0,39,0.0
5389,6370,0.92,1,2,1,117,0.0
5390,25935,0.893,10,1,2,57,1.0
5391,6532,0.926,8,4,0,44,0.0
5392,5398,0.624,6,7,1,50,1.0
5393,12788,0.743,7,5,5,6,0.0
5394,280,0.624,3,7,2,34,1.0
5396,2328,0.91,13,5,1,114,0.0
5399,6780,0.762,14,5,3,77,1.0
5400,2363,0.939,21,5,1,302,1.0
5401,6810,0.624,7,3,2,6,1.0
5402,27328,0.92,2,7,1,55,0.0
5403,24750,0.804,21,7,1,55,0.0
5404,14486,0.624,5,4,1,294,0.0
5405,597,0.92,12,4,1,39,0.0
5406,19879,0.926,4,7,1,272,0.0
5407,15894,0.5579999999999999,3,2,1,57,1.0
5410,31124,0.83,5,2,1,19,0.0
5412,158,0.624,4,3,1,92,1.0
5413,2554,0.91,8,3,1,86,0.0
5415,24616,0.92,9,3,1,4,0.0
5416,20560,0.767,1,1,0,149,0.0
5418,15632,0.624,5,3,1,58,0.0
5419,15087,0.92,8,1,1,57,0.0
5421,11747,0.92,21,5,5,88,0.0
5422,22586,0.624,4,3,2,37,0.0
5423,12822,0.91,21,5,5,29,0.0
5425,27997,0.92,4,2,1,162,0.0
5426,20252,0.92,10,0,1,28,0.0
5427,14130,0.836,10,2,0,150,0.0
5428,4143,0.92,21,5,2,29,0.0
5429,16078,0.92,20,7,5,45,0.0
5430,8572,0.92,2,2,1,222,0.0
5433,25961,0.624,2,0,1,95,0.0
5434,10425,0.6890000000000001,5,2,1,12,0.0
5435,4126,0.92,21,3,5,90,0.0
5436,28558,0.682,10,7,0,54,1.0
5438,14461,0.556,1,2,1,290,1.0
5439,30217,0.91,15,7,5,6,0.0
5440,1506,0.92,8,3,1,176,0.0
5442,23005,0.91,15,4,2,50,0.0
5443,4941,0.925,3,3,0,21,0.0
5445,27147,0.926,4,1,4,18,0.0
5446,32863,0.92,21,3,3,23,0.0
5447,8725,0.693,3,0,1,51,0.0
5448,11122,0.8959999999999999,15,6,1,17,0.0
5449,2264,0.698,11,7,2,108,0.0
5450,24046,0.939,21,5,2,22,0.0
5452,25044,0.624,0,7,1,166,0.0
5453,7982,0.7759999999999999,4,4,1,44,0.0
5457,3869,0.899,4,3,2,111,0.0
5458,19217,0.92,12,2,5,38,0.0
5463,6542,0.893,17,5,1,13,0.0
5464,26970,0.926,14,0,2,77,0.0
5465,23369,0.802,9,1,5,75,0.0
5466,5308,0.884,16,3,1,25,0.0
5468,13558,0.855,10,7,1,82,0.0
5469,19262,0.92,4,7,3,178,1.0
5470,10891,0.899,20,4,5,15,0.0
5472,20651,0.624,3,5,1,6,1.0
5473,20247,0.92,3,5,1,4,0.0
5474,6658,0.923,3,5,1,51,0.0
5475,33307,0.897,7,3,4,45,0.0
5477,5614,0.624,4,7,1,28,1.0
5479,10934,0.92,21,0,1,134,0.0
5480,6062,0.92,21,6,1,22,0.0
5481,12720,0.91,21,5,5,200,1.0
5483,8915,0.92,21,1,5,43,0.0
5484,12805,0.698,7,1,2,25,0.0
5485,28604,0.884,21,2,5,39,0.0
5486,8303,0.8270000000000001,6,3,1,130,0.0
5487,29214,0.92,6,3,1,168,0.0
5488,24745,0.698,0,6,1,8,1.0
5489,16686,0.91,14,7,0,9,0.0
5491,3157,0.92,5,2,1,198,0.0
5492,25032,0.856,12,2,5,214,1.0
5493,2452,0.897,6,4,4,72,0.0
5494,25009,0.939,2,7,1,40,0.0
5495,11172,0.92,6,7,1,138,0.0
5496,24640,0.754,4,7,1,328,0.0
5497,20417,0.804,13,2,5,26,0.0
5499,7919,0.923,6,0,1,260,0.0
5500,15053,0.92,20,1,1,334,0.0
5502,3626,0.91,3,5,1,148,0.0
5504,7932,0.624,7,3,2,17,0.0
5505,4444,0.91,15,2,2,102,0.0
5506,18599,0.926,4,1,4,40,1.0
5508,1120,0.913,10,2,1,65,0.0
5509,5558,0.698,9,0,5,9,0.0
5510,22471,0.923,7,3,4,26,0.0
5511,15033,0.884,4,4,2,41,0.0
5513,27721,0.855,7,5,2,34,1.0
5516,22049,0.92,21,3,5,79,0.0
5520,11389,0.92,21,2,5,118,0.0
5521,29169,0.92,10,7,1,56,0.0
5522,11944,0.698,9,1,2,72,0.0
5523,12798,0.92,14,2,4,94,0.0
5524,2942,0.698,12,2,1,48,1.0
5525,24532,0.92,21,2,5,97,0.0
5528,32999,0.624,3,1,2,328,1.0
5529,30471,0.91,2,6,1,170,0.0
5530,28339,0.893,12,6,2,34,0.0
5532,32895,0.624,8,6,2,66,0.0
5533,11881,0.92,11,2,5,45,0.0
5535,747,0.92,10,2,1,57,0.0
5536,4735,0.698,5,7,1,170,0.0
5537,2955,0.855,4,7,2,25,0.0
5539,31290,0.897,19,0,1,18,0.0
5540,11996,0.624,5,7,2,36,0.0
5541,1799,0.804,14,0,5,92,0.0
5542,18738,0.624,15,6,5,20,0.0
5544,26840,0.91,7,7,2,18,0.0
5545,10786,0.92,18,6,5,52,0.0
5546,1207,0.926,13,3,5,118,0.0
5549,17890,0.926,5,7,1,50,0.0
5550,18636,0.55,17,5,5,107,0.0
5551,20704,0.624,6,1,0,26,0.0
5554,19041,0.92,21,1,1,22,0.0
5556,6068,0.754,4,2,1,49,0.0
5557,8242,0.624,9,4,4,144,1.0
5559,4109,0.742,12,2,1,30,0.0
5560,5915,0.91,17,3,5,26,0.0
5562,8449,0.855,7,3,2,8,0.0
5563,9931,0.92,21,5,5,234,0.0
5565,18845,0.897,10,2,3,40,0.0
5566,6248,0.74,10,5,5,242,0.0
5569,18984,0.698,10,0,1,8,0.0
5571,28982,0.939,16,7,3,28,0.0
5572,18640,0.624,5,4,4,12,1.0
5575,12084,0.939,2,7,0,204,0.0
5576,8705,0.92,21,4,3,52,1.0
5579,5003,0.92,21,4,5,9,0.0
5582,2711,0.866,8,0,2,288,0.0
5585,12464,0.855,9,0,1,24,0.0
5587,22798,0.926,11,2,1,91,0.0
5588,4904,0.924,21,2,1,15,0.0
5589,9194,0.624,7,7,1,123,0.0
5590,20896,0.897,5,2,1,84,0.0
5591,31288,0.698,10,3,5,15,0.0
5593,17722,0.92,19,5,5,57,0.0
5595,9037,0.89,6,2,1,48,0.0
5597,14142,0.92,3,2,5,7,0.0
5598,2202,0.698,14,5,5,29,1.0
5599,716,0.939,21,1,5,122,0.0
5602,14188,0.647,11,7,5,110,0.0
5603,22111,0.91,21,7,5,130,0.0
5604,12686,0.913,12,1,1,58,0.0
5607,9036,0.624,4,1,2,17,0.0
5608,32184,0.897,3,0,1,29,0.0
5609,8077,0.855,5,2,3,57,0.0
5610,2121,0.893,12,7,1,42,0.0
5611,17261,0.91,8,5,1,14,0.0
5612,9390,0.624,4,2,1,89,1.0
5613,30223,0.923,5,7,2,17,0.0
5614,26696,0.624,6,2,5,23,0.0
5615,4308,0.92,6,7,1,25,0.0
5616,2502,0.624,7,3,1,154,0.0
5617,14359,0.579,4,0,1,135,0.0
5618,25738,0.926,7,3,3,11,1.0
5619,28120,0.91,19,3,2,20,0.0
5624,26851,0.92,12,7,2,36,0.0
5625,18467,0.7759999999999999,15,5,2,25,0.0
5626,28114,0.91,10,6,1,40,0.0
5627,13886,0.92,3,1,1,30,0.0
5628,5844,0.691,10,1,1,64,0.0
5629,29850,0.6659999999999999,12,4,2,15,1.0
5630,18399,0.6659999999999999,8,1,1,96,0.0
5631,29679,0.897,5,0,1,76,0.0
5632,17381,0.92,21,0,1,39,0.0
5635,25458,0.923,1,0,1,105,0.0
5636,28525,0.926,17,6,5,3,0.0
5637,15100,0.92,7,6,4,110,0.0
5639,929,0.836,6,4,1,22,0.0
5640,28154,0.92,16,7,5,17,0.0
5642,27505,0.92,7,2,2,100,0.0
5644,29121,0.795,5,5,1,49,0.0
5648,4826,0.926,21,2,5,25,0.0
5649,9133,0.855,4,2,2,96,0.0
5650,23649,0.92,6,7,2,13,0.0
5653,3735,0.92,21,0,5,36,0.0
5654,30480,0.897,1,2,1,45,1.0
5655,32291,0.91,21,2,4,50,0.0
5656,31821,0.624,4,2,1,21,0.0
5657,6477,0.915,20,0,3,41,0.0
5658,4163,0.92,21,3,5,83,0.0
5660,24602,0.92,21,3,1,17,0.0
5662,6828,0.624,9,2,1,60,1.0
5666,11303,0.926,20,5,5,54,0.0
5667,17594,0.91,4,2,1,36,0.0
5671,14467,0.624,5,2,1,47,1.0
5673,32361,0.8270000000000001,15,5,1,83,0.0
5674,20355,0.624,11,3,2,106,1.0
5675,2341,0.923,1,2,1,190,0.0
5676,4246,0.92,16,2,2,7,0.0
5677,13691,0.698,21,0,1,26,0.0
5678,26702,0.926,16,3,1,86,0.0
5679,16070,0.926,19,2,5,163,0.0
5680,4396,0.92,21,7,1,256,0.0
5681,3179,0.754,15,3,2,32,0.0
5682,23361,0.899,18,3,5,7,0.0
5684,3570,0.926,14,4,1,28,0.0
5685,13618,0.624,3,1,1,198,0.0
5686,24326,0.836,21,2,5,24,0.0
5687,1720,0.789,1,3,1,35,0.0
5688,23611,0.579,7,2,1,74,1.0
5690,29177,0.926,2,1,2,13,0.0
5691,19148,0.926,8,3,1,41,0.0
5692,28918,0.92,19,0,2,88,0.0
5694,18269,0.74,12,2,1,3,0.0
5695,9735,0.924,4,5,1,12,0.0
5696,8482,0.624,0,3,1,22,0.0
5697,15896,0.92,19,3,3,52,0.0
5699,28038,0.913,7,7,2,18,0.0
5701,22959,0.624,0,2,1,102,1.0
5702,16737,0.743,12,3,2,4,0.0
5704,16396,0.698,4,2,1,40,0.0
5705,3194,0.754,12,2,1,22,0.0
5706,24498,0.624,3,7,1,8,1.0
5707,32774,0.92,13,6,1,98,0.0
5709,9829,0.923,11,0,0,154,0.0
5710,25757,0.92,21,5,2,182,0.0
5711,30272,0.92,4,7,1,69,0.0
5714,7049,0.91,7,2,1,50,0.0
5716,7945,0.866,5,3,1,146,0.0
5717,13506,0.923,14,4,4,18,0.0
5718,20145,0.727,7,2,1,40,1.0
5720,1056,0.899,9,3,1,134,0.0
5721,4423,0.92,18,6,5,109,0.0
5722,8531,0.91,21,2,1,28,0.0
5724,2381,0.804,10,2,2,89,0.0
5725,13024,0.89,8,2,1,114,0.0
5726,32750,0.92,16,1,5,134,0.0
5727,24111,0.913,15,2,1,3,0.0
5728,10323,0.92,16,2,2,40,0.0
5730,27280,0.92,20,4,1,66,0.0
5731,2961,0.855,14,2,2,102,0.0
5732,28325,0.698,13,2,1,96,0.0
5734,20054,0.624,12,0,0,306,0.0
5735,6417,0.939,9,2,4,192,1.0
5736,14473,0.939,2,4,1,54,0.0
5737,21767,0.624,7,7,4,92,1.0
5739,31641,0.92,21,6,5,4,0.0
5740,386,0.92,21,0,5,178,0.0
5741,3241,0.913,5,0,0,15,0.0
5742,4149,0.897,14,7,3,34,0.0
5743,13519,0.878,8,3,1,30,0.0
5744,10146,0.915,4,0,2,46,1.0
5745,431,0.92,15,5,0,166,0.0
5746,8692,0.939,2,5,1,37,0.0
5747,12863,0.926,21,6,4,108,1.0
5748,1012,0.926,16,2,3,58,0.0
5752,23256,0.92,15,7,5,64,0.0
5753,1917,0.926,21,5,2,182,0.0
5754,2561,0.924,7,0,3,75,0.0
5755,21665,0.924,21,7,4,18,0.0
5756,29409,0.92,21,3,1,8,0.0
5758,23722,0.804,5,2,4,210,0.0
5760,11285,0.92,8,3,5,10,0.0
5761,18054,0.794,9,4,2,11,0.0
5763,9428,0.893,21,5,2,47,0.0
5764,28708,0.939,14,2,1,68,0.0
5765,6622,0.903,4,1,1,80,0.0
5766,9777,0.92,15,3,2,74,0.0
5767,24229,0.926,11,5,1,13,0.0
5771,31954,0.624,10,5,3,58,0.0
5772,7337,0.802,9,5,2,51,0.0
5773,8681,0.855,3,2,0,104,0.0
5774,18190,0.767,4,0,1,43,0.0
5775,4070,0.92,21,2,5,4,0.0
5776,12085,0.55,10,0,0,50,1.0
5777,10476,0.92,21,2,2,184,0.0
5778,17811,0.6659999999999999,14,7,3,258,1.0
5779,18042,0.92,5,5,2,18,0.0
5780,26920,0.926,4,0,2,21,0.0
5781,11877,0.754,10,7,2,41,0.0
5782,25670,0.8959999999999999,9,3,3,20,0.0
5783,12132,0.92,21,3,4,17,0.0
5787,6493,0.939,21,7,2,68,0.0
5789,16795,0.897,21,6,5,282,0.0
5790,1987,0.55,17,4,1,22,0.0
5792,10505,0.624,3,3,1,80,0.0
5795,4165,0.92,21,5,2,83,0.0
5796,31214,0.775,10,5,5,14,1.0
5797,11968,0.884,6,0,4,50,1.0
5800,17852,0.887,12,2,4,128,1.0
5801,24117,0.701,16,1,3,11,0.0
5805,10851,0.624,5,7,1,26,1.0
5806,18953,0.92,11,1,1,44,0.0
5807,4055,0.92,4,3,1,86,0.0
5808,21828,0.91,21,5,5,46,0.0
5810,1672,0.92,5,7,1,49,0.0
5811,15710,0.897,14,1,1,15,0.0
5814,16448,0.624,4,5,1,8,1.0
5816,13629,0.624,1,2,1,27,1.0
5818,20002,0.926,17,2,5,23,0.0
5819,30749,0.6659999999999999,21,2,5,2,0.0
5820,905,0.926,6,1,2,9,0.0
5821,11771,0.624,7,7,3,87,1.0
5822,5552,0.925,2,4,2,13,0.0
5823,26133,0.91,10,2,1,76,0.0
5825,18259,0.92,12,2,1,53,0.0
5826,4034,0.92,21,3,5,11,0.0
5827,30110,0.92,9,7,2,45,0.0
5828,32526,0.6659999999999999,10,2,2,5,0.0
5829,23937,0.754,11,6,1,90,0.0
5830,313,0.92,14,1,2,4,0.0
5831,3714,0.92,21,1,3,10,0.0
5832,17798,0.899,16,7,1,82,0.0
5833,12583,0.887,19,2,5,26,0.0
5835,19588,0.624,13,7,1,107,1.0
5836,9042,0.698,11,0,2,29,1.0
5839,12035,0.7659999999999999,10,3,1,64,0.0
5840,29860,0.949,5,0,1,61,0.0
5841,23922,0.893,21,7,5,11,0.0
5845,19178,0.698,18,1,1,97,0.0
5846,15421,0.624,8,3,5,36,1.0
5848,27431,0.527,0,3,2,57,1.0
5849,1342,0.92,10,7,5,166,0.0
5850,21363,0.939,16,0,5,226,0.0
5851,3788,0.92,21,6,5,46,0.0
5852,21130,0.92,8,7,0,42,0.0
5854,10546,0.698,10,1,1,102,1.0
5855,9063,0.624,1,6,0,67,1.0
5856,30691,0.92,16,6,0,194,0.0
5858,1521,0.754,8,7,0,12,0.0
5859,4754,0.924,21,0,5,100,0.0
5860,24644,0.939,21,0,5,41,0.0
5862,30423,0.91,5,2,1,151,0.0
5863,12795,0.926,5,2,2,43,0.0
5864,23533,0.92,2,4,1,40,0.0
5865,15839,0.91,6,1,3,42,0.0
5866,4693,0.624,4,3,0,70,1.0
5868,9959,0.91,7,3,1,46,0.0
5869,24773,0.92,9,7,2,149,0.0
5870,14872,0.926,16,7,1,10,0.0
5871,25723,0.92,21,2,5,88,0.0
5873,19930,0.8959999999999999,6,0,2,8,0.0
5874,3206,0.92,15,5,2,23,0.0
5876,8035,0.865,5,2,3,50,0.0
5877,6115,0.91,21,3,1,116,0.0
5881,3402,0.624,5,1,1,32,0.0
5882,6639,0.91,5,6,1,94,0.0
5884,28573,0.579,6,2,1,56,1.0
5885,12506,0.897,18,2,1,31,0.0
5888,28858,0.92,11,2,1,62,0.0
5889,19395,0.624,1,2,1,126,0.0
5890,11192,0.55,15,5,3,165,1.0
5891,24767,0.92,21,7,5,79,0.0
5892,1819,0.624,21,4,5,26,1.0
5893,13943,0.91,7,3,1,14,0.0
5894,2865,0.91,16,1,1,144,0.0
5895,11805,0.924,5,2,2,116,0.0
5896,9815,0.92,19,3,4,14,1.0
5897,3533,0.926,7,0,1,46,0.0
5899,21497,0.624,6,4,0,11,1.0
5901,28744,0.92,6,1,1,102,0.0
5902,9086,0.624,6,2,1,43,0.0
5903,14382,0.92,6,7,5,25,0.0
5904,5671,0.624,2,1,2,38,0.0
5905,32972,0.92,4,7,1,180,0.0
5907,26666,0.91,6,7,5,24,0.0
5908,4888,0.855,3,3,1,42,0.0
5909,7896,0.855,2,3,1,24,0.0
5910,3308,0.924,2,2,1,60,0.0
5912,18680,0.855,19,1,5,66,0.0
5914,28828,0.897,11,0,3,56,0.0
5915,27223,0.624,3,2,2,17,0.0
5916,26125,0.92,13,3,1,66,0.0
5917,21313,0.804,5,5,1,31,0.0
5918,19050,0.92,3,5,2,14,0.0
5919,13005,0.92,9,5,4,28,0.0
5920,21760,0.893,6,0,1,19,0.0
5922,16248,0.92,8,2,0,66,0.0
5923,15759,0.91,12,3,1,6,0.0
5924,16794,0.926,12,3,1,46,0.0
5925,24747,0.92,15,3,5,62,0.0
5926,2755,0.926,21,1,5,6,0.0
5927,3993,0.89,21,3,5,80,0.0
5929,12608,0.926,5,3,2,28,0.0
5930,11732,0.939,11,0,1,133,0.0
5931,10510,0.92,11,4,1,78,0.0
5932,28014,0.722,1,6,1,48,0.0
5933,7989,0.624,3,2,1,7,1.0
5934,16117,0.92,7,0,1,80,0.0
5935,20717,0.68,4,3,2,45,0.0
5936,16739,0.91,14,2,4,19,1.0
5937,21829,0.804,21,2,1,110,0.0
5940,444,0.92,12,3,1,30,0.0
5941,29072,0.926,10,2,1,58,0.0
5942,13070,0.92,21,2,5,104,0.0
5944,28124,0.624,21,1,0,14,1.0
5945,17404,0.91,15,2,1,124,0.0
5946,9543,0.698,8,3,5,17,0.0
5947,14882,0.878,21,4,2,50,0.0
5948,3159,0.92,21,3,5,48,1.0
5949,5581,0.92,13,4,5,56,0.0
5950,25631,0.527,2,2,1,232,0.0
5952,18382,0.624,5,7,1,31,0.0
5954,1529,0.738,10,3,5,18,0.0
5955,12844,0.92,6,0,5,10,0.0
5956,22704,0.865,2,0,1,39,0.0
5958,2977,0.926,21,1,5,214,0.0
5959,14262,0.92,21,3,2,4,0.0
5960,20738,0.897,7,3,1,46,0.0
5963,2387,0.855,14,2,2,27,0.0
5964,10846,0.8959999999999999,14,4,1,76,0.0
5966,15249,0.6890000000000001,3,2,1,34,0.0
